month,channel,city,units_sold,list_sales_inr,discounts_inr,net_sales_inr,variable_cost_inr,marketing_spend_inr,active_consumers,repeat_consumers,new_consumers,outlets_or_listings,availability_rate,is_simulated,data_note
2024-01-01,Grocery,Mumbai,19957,2494625,268466.37,2226158.63,1357076,144847.94,15282,5980,2143,48,0.6121,True,Simulated assumption; not Red Bull private data
2024-01-01,Grocery,Delhi NCR,19454,2431750,242153.59,2189596.41,1322872,111473.18,14803,6231,2345,48,0.5985,True,Simulated assumption; not Red Bull private data
2024-01-01,Grocery,Bengaluru,20767,2595875,283518.27,2312356.73,1412156,145444.29,15295,6382,2216,54,0.6161,True,Simulated assumption; not Red Bull private data
2024-01-01,Grocery,Hyderabad,17051,2131375,190314.32,1941060.68,1159468,109929.61,12767,5439,1956,47,0.6098,True,Simulated assumption; not Red Bull private data
2024-01-01,Grocery,Pune,15887,1985875,173156.25,1812718.75,1080316,106371.13,12254,5126,1760,35,0.6363,True,Simulated assumption; not Red Bull private data
2024-01-01,Grocery,Chennai,16350,2043750,242350.64,1801399.36,1111800,131608.3,12178,5135,1846,41,0.6256,True,Simulated assumption; not Red Bull private data
2024-01-01,Convenience,Mumbai,28328,4107560,398321.75,3709238.25,2039616,181470.38,21199,9656,2711,64,0.604,True,Simulated assumption; not Red Bull private data
2024-01-01,Convenience,Delhi NCR,29453,4270685,312278.65,3958406.35,2120616,177536.9,22331,10087,2854,71,0.6347,True,Simulated assumption; not Red Bull private data
2024-01-01,Convenience,Bengaluru,30507,4423515,432534.24,3990980.76,2196504,140436.1,21856,10805,2814,65,0.5917,True,Simulated assumption; not Red Bull private data
2024-01-01,Convenience,Hyderabad,23817,3453465,196894.79,3256570.21,1714824,131996.27,17864,8446,2340,59,0.6123,True,Simulated assumption; not Red Bull private data
2024-01-01,Convenience,Pune,21368,3098360,283250.15,2815109.85,1538496,105861.48,15358,7063,2045,48,0.6203,True,Simulated assumption; not Red Bull private data
2024-01-01,Convenience,Chennai,21687,3144615,289363.28,2855251.72,1561464,134577.23,15767,7456,2041,44,0.5838,True,Simulated assumption; not Red Bull private data
2024-01-01,E-commerce,Mumbai,14290,1972020,270033.65,1701986.35,1000300,134764.41,10016,4941,1919,20,0.6384,True,Simulated assumption; not Red Bull private data
2024-01-01,E-commerce,Delhi NCR,14415,1989270,291745.46,1697524.54,1009050,82417.06,10341,5322,1700,21,0.6259,True,Simulated assumption; not Red Bull private data
2024-01-01,E-commerce,Bengaluru,14414,1989132,308606.37,1680525.63,1008980,125442.36,10260,5171,1848,23,0.614,True,Simulated assumption; not Red Bull private data
2024-01-01,E-commerce,Hyderabad,12542,1730796,249948.69,1480847.31,877940,72210.96,9617,4949,1761,20,0.5903,True,Simulated assumption; not Red Bull private data
2024-01-01,E-commerce,Pune,11274,1555812,239604.71,1316207.29,789180,102768.8,7747,3959,1378,20,0.5946,True,Simulated assumption; not Red Bull private data
2024-01-01,E-commerce,Chennai,11862,1636956,291112.73,1345843.27,830340,98655.84,9632,4885,1647,20,0.6267,True,Simulated assumption; not Red Bull private data
2024-01-01,Quick commerce,Mumbai,16744,2511600,451275.43,2060324.57,1239056,117994.07,12197,5819,2581,23,0.5941,True,Simulated assumption; not Red Bull private data
2024-01-01,Quick commerce,Delhi NCR,16082,2412300,381464.06,2030835.94,1190068,105291.07,11913,5819,2518,24,0.6075,True,Simulated assumption; not Red Bull private data
2024-01-01,Quick commerce,Bengaluru,16805,2520750,429476.33,2091273.67,1243570,125817.88,13359,5968,2923,22,0.6433,True,Simulated assumption; not Red Bull private data
2024-01-01,Quick commerce,Hyderabad,13954,2093100,438763.52,1654336.48,1032596,95133.73,9954,4650,2042,20,0.5881,True,Simulated assumption; not Red Bull private data
2024-01-01,Quick commerce,Pune,14633,2194950,448460.55,1746489.45,1082842,139052.92,10669,4956,2386,21,0.6097,True,Simulated assumption; not Red Bull private data
2024-01-01,Quick commerce,Chennai,13155,1973250,449224.6,1524025.4,973470,123785.4,9707,4273,1899,21,0.6631,True,Simulated assumption; not Red Bull private data
2024-01-01,Cafés,Mumbai,8880,1554000,70725.68,1483274.32,728160,103404.48,6116,3258,694,20,0.6199,True,Simulated assumption; not Red Bull private data
2024-01-01,Cafés,Delhi NCR,8910,1559250,71591.29,1487658.71,730620,79509.76,6444,3624,636,21,0.5989,True,Simulated assumption; not Red Bull private data
2024-01-01,Cafés,Bengaluru,8942,1564850,30561.01,1534288.99,733244,116674.06,6680,3503,735,20,0.6118,True,Simulated assumption; not Red Bull private data
2024-01-01,Cafés,Hyderabad,7672,1342600,100787.57,1241812.43,629104,121423.58,5495,2948,597,20,0.6244,True,Simulated assumption; not Red Bull private data
2024-01-01,Cafés,Pune,7163,1253525,28693.56,1224831.44,587366,83844.5,5682,3330,598,20,0.5834,True,Simulated assumption; not Red Bull private data
2024-01-01,Cafés,Chennai,6922,1211350,42678.68,1168671.32,567604,62752.27,4843,2602,475,20,0.5934,True,Simulated assumption; not Red Bull private data
2024-01-01,Sports/events,Mumbai,5756,920960,15438.99,905521.01,448968,90544.85,3993,1363,1281,20,0.5926,True,Simulated assumption; not Red Bull private data
2024-01-01,Sports/events,Delhi NCR,6763,1082080,82154.58,999925.42,527514,56981.56,4972,1811,1566,20,0.6139,True,Simulated assumption; not Red Bull private data
2024-01-01,Sports/events,Bengaluru,6413,1026080,50722.66,975357.34,500214,69578.27,4760,1631,1363,20,0.6258,True,Simulated assumption; not Red Bull private data
2024-01-01,Sports/events,Hyderabad,5096,815360,13141.01,802218.99,397488,89754.44,3826,1394,1112,20,0.602,True,Simulated assumption; not Red Bull private data
2024-01-01,Sports/events,Pune,4726,756160,28667.81,727492.19,368628,60362.83,3748,1367,1045,20,0.6498,True,Simulated assumption; not Red Bull private data
2024-01-01,Sports/events,Chennai,4655,744800,27236.39,717563.61,363090,50299.86,3602,1317,986,20,0.6266,True,Simulated assumption; not Red Bull private data
2024-02-01,Grocery,Mumbai,21503,2687875,272313.1,2415561.9,1462204,102700.3,15709,6633,2529,40,0.6261,True,Simulated assumption; not Red Bull private data
2024-02-01,Grocery,Delhi NCR,21417,2677125,279526.15,2397598.85,1456356,102786.82,14695,6242,2394,44,0.6536,True,Simulated assumption; not Red Bull private data
2024-02-01,Grocery,Bengaluru,22558,2819750,258816.03,2560933.97,1533944,141823.77,16425,7212,2535,61,0.6614,True,Simulated assumption; not Red Bull private data
2024-02-01,Grocery,Hyderabad,19674,2459250,272920.6,2186329.4,1337832,130568.55,15000,6234,2257,44,0.6567,True,Simulated assumption; not Red Bull private data
2024-02-01,Grocery,Pune,17910,2238750,157926.82,2080823.18,1217880,138104.84,13254,5794,2062,48,0.6503,True,Simulated assumption; not Red Bull private data
2024-02-01,Grocery,Chennai,16330,2041250,123901.82,1917348.18,1110440,139334.26,11801,5218,1826,36,0.6067,True,Simulated assumption; not Red Bull private data
2024-02-01,Convenience,Mumbai,27297,3958065,319889.04,3638175.96,1965384,132423.85,20173,10074,2702,53,0.6396,True,Simulated assumption; not Red Bull private data
2024-02-01,Convenience,Delhi NCR,28852,4183540,342217.08,3841322.92,2077344,164020.85,19321,9082,2585,60,0.6689,True,Simulated assumption; not Red Bull private data
2024-02-01,Convenience,Bengaluru,31710,4597950,410178.13,4187771.87,2283120,193100.72,23899,11900,3143,76,0.6388,True,Simulated assumption; not Red Bull private data
2024-02-01,Convenience,Hyderabad,23835,3456075,201891.35,3254183.65,1716120,123252.76,17664,8775,2174,56,0.669,True,Simulated assumption; not Red Bull private data
2024-02-01,Convenience,Pune,21946,3182170,195418.0,2986752.0,1580112,156808.0,16560,7951,2295,55,0.653,True,Simulated assumption; not Red Bull private data
2024-02-01,Convenience,Chennai,24750,3588750,336814.64,3251935.36,1782000,158390.31,16617,8424,2110,59,0.6647,True,Simulated assumption; not Red Bull private data
