month,channel,city,discounts_inr,marketing_spend_inr,promotion_type,promo_days,is_simulated
2024-01-01,Grocery,Mumbai,268466.37,144847.94,trade visibility / display,3,True
2024-01-01,Grocery,Delhi NCR,242153.59,111473.18,trade visibility / display,12,True
2024-01-01,Grocery,Bengaluru,283518.27,145444.29,trade visibility / display,4,True
2024-01-01,Grocery,Hyderabad,190314.32,109929.61,trade visibility / display,11,True
2024-01-01,Grocery,Pune,173156.25,106371.13,trade visibility / display,13,True
2024-01-01,Grocery,Chennai,242350.64,131608.3,trade visibility / display,5,True
2024-01-01,Convenience,Mumbai,398321.75,181470.38,trade visibility / display,10,True
2024-01-01,Convenience,Delhi NCR,312278.65,177536.9,trade visibility / display,6,True
2024-01-01,Convenience,Bengaluru,432534.24,140436.1,trade visibility / display,8,True
2024-01-01,Convenience,Hyderabad,196894.79,131996.27,trade visibility / display,9,True
2024-01-01,Convenience,Pune,283250.15,105861.48,trade visibility / display,6,True
2024-01-01,Convenience,Chennai,289363.28,134577.23,trade visibility / display,13,True
2024-01-01,E-commerce,Mumbai,270033.65,134764.41,bundle / search placement,8,True
2024-01-01,E-commerce,Delhi NCR,291745.46,82417.06,bundle / search placement,9,True
2024-01-01,E-commerce,Bengaluru,308606.37,125442.36,bundle / search placement,13,True
2024-01-01,E-commerce,Hyderabad,249948.69,72210.96,bundle / search placement,5,True
2024-01-01,E-commerce,Pune,239604.71,102768.8,bundle / search placement,8,True
2024-01-01,E-commerce,Chennai,291112.73,98655.84,bundle / search placement,15,True
2024-01-01,Quick commerce,Mumbai,451275.43,117994.07,instant discount / app visibility,8,True
2024-01-01,Quick commerce,Delhi NCR,381464.06,105291.07,instant discount / app visibility,4,True
2024-01-01,Quick commerce,Bengaluru,429476.33,125817.88,instant discount / app visibility,6,True
2024-01-01,Quick commerce,Hyderabad,438763.52,95133.73,instant discount / app visibility,15,True
2024-01-01,Quick commerce,Pune,448460.55,139052.92,instant discount / app visibility,12,True
2024-01-01,Quick commerce,Chennai,449224.6,123785.4,instant discount / app visibility,13,True
2024-01-01,Cafés,Mumbai,70725.68,103404.48,trade visibility / display,6,True
2024-01-01,Cafés,Delhi NCR,71591.29,79509.76,trade visibility / display,13,True
2024-01-01,Cafés,Bengaluru,30561.01,116674.06,trade visibility / display,8,True
2024-01-01,Cafés,Hyderabad,100787.57,121423.58,trade visibility / display,13,True
2024-01-01,Cafés,Pune,28693.56,83844.5,trade visibility / display,14,True
2024-01-01,Cafés,Chennai,42678.68,62752.27,trade visibility / display,5,True
2024-01-01,Sports/events,Mumbai,15438.99,90544.85,sampling / event activation,15,True
2024-01-01,Sports/events,Delhi NCR,82154.58,56981.56,sampling / event activation,11,True
2024-01-01,Sports/events,Bengaluru,50722.66,69578.27,sampling / event activation,12,True
2024-01-01,Sports/events,Hyderabad,13141.01,89754.44,sampling / event activation,12,True
2024-01-01,Sports/events,Pune,28667.81,60362.83,sampling / event activation,5,True
2024-01-01,Sports/events,Chennai,27236.39,50299.86,sampling / event activation,12,True
2024-02-01,Grocery,Mumbai,272313.1,102700.3,trade visibility / display,5,True
2024-02-01,Grocery,Delhi NCR,279526.15,102786.82,trade visibility / display,6,True
2024-02-01,Grocery,Bengaluru,258816.03,141823.77,trade visibility / display,4,True
2024-02-01,Grocery,Hyderabad,272920.6,130568.55,trade visibility / display,5,True
2024-02-01,Grocery,Pune,157926.82,138104.84,trade visibility / display,15,True
2024-02-01,Grocery,Chennai,123901.82,139334.26,trade visibility / display,7,True
2024-02-01,Convenience,Mumbai,319889.04,132423.85,trade visibility / display,8,True
2024-02-01,Convenience,Delhi NCR,342217.08,164020.85,trade visibility / display,9,True
2024-02-01,Convenience,Bengaluru,410178.13,193100.72,trade visibility / display,12,True
2024-02-01,Convenience,Hyderabad,201891.35,123252.76,trade visibility / display,10,True
2024-02-01,Convenience,Pune,195418.0,156808.0,trade visibility / display,9,True
2024-02-01,Convenience,Chennai,336814.64,158390.31,trade visibility / display,13,True
2024-02-01,E-commerce,Mumbai,263746.87,106986.17,bundle / search placement,9,True
2024-02-01,E-commerce,Delhi NCR,236642.92,97596.44,bundle / search placement,12,True
2024-02-01,E-commerce,Bengaluru,397690.46,89977.32,bundle / search placement,14,True
2024-02-01,E-commerce,Hyderabad,312780.12,112490.22,bundle / search placement,11,True
2024-02-01,E-commerce,Pune,281998.32,114873.94,bundle / search placement,3,True
2024-02-01,E-commerce,Chennai,232976.21,76155.32,bundle / search placement,6,True
2024-02-01,Quick commerce,Mumbai,483151.54,153782.57,instant discount / app visibility,11,True
2024-02-01,Quick commerce,Delhi NCR,490519.42,134895.17,instant discount / app visibility,9,True
2024-02-01,Quick commerce,Bengaluru,623768.23,156221.2,instant discount / app visibility,6,True
2024-02-01,Quick commerce,Hyderabad,452419.94,102201.84,instant discount / app visibility,7,True
2024-02-01,Quick commerce,Pune,301907.33,94029.55,instant discount / app visibility,4,True
2024-02-01,Quick commerce,Chennai,414088.08,117837.93,instant discount / app visibility,6,True
2024-02-01,Cafés,Mumbai,94141.19,106026.07,trade visibility / display,13,True
2024-02-01,Cafés,Delhi NCR,49462.24,120397.28,trade visibility / display,3,True
2024-02-01,Cafés,Bengaluru,75623.46,118631.84,trade visibility / display,13,True
2024-02-01,Cafés,Hyderabad,39613.68,80007.13,trade visibility / display,7,True
2024-02-01,Cafés,Pune,13931.61,98523.6,trade visibility / display,13,True
