event_id,event_date,activation_name,city,attendance,engagement_rate,social_impressions,content_views,samples_distributed,qualified_leads,conversions,conversion_rate,avg_order_value_inr,attributed_revenue_inr,activation_spend_inr,contribution_profit_inr,attribution_case,is_simulated,cost_per_attendee_inr,cost_per_lead_inr,cost_per_conversion_inr,base_roas,base_profit_roi_pct,conservative_attributed_revenue_inr,conservative_profit_inr,conservative_roi_pct,base_attributed_revenue_inr,base_profit_inr,base_roi_pct,upside_attributed_revenue_inr,upside_profit_inr,upside_roi_pct
EVT-001,2024-01-16,Campus Cricket,Mumbai,9109,0.344,285236,67645,7041,1237,266,0.2157,616.18,163903.08,2138283.72,59733.85,Base case; simulated assumptions; not Red Bull private data,True,234.7440685036777,1728.6044624090543,8038.6606015037605,0.07665169896163264,2.793541822410732,81951.54,-2108416.7950000004,-98.60322908879465,163903.08,-2078549.87,-97.20645817758925,221269.158,-2057643.0225000002,-96.2287185397455
EVT-002,2024-02-19,Urban Dance Showcase,Delhi NCR,7087,0.3002,276030,76624,4719,776,145,0.1876,517.81,75082.82,700220.6,21645.07,Base case; simulated assumptions; not Red Bull private data,True,98.80352758572033,902.3461340206185,4829.1075862068965,0.10722737948583634,3.0911786942572097,37541.41,-689398.065,-98.45441065287139,75082.82,-678575.53,-96.9088213057428,101361.80700000002,-670999.7555,-95.82690876275277
EVT-003,2024-03-15,Adventure Team Challenge,Bengaluru,4999,0.4371,115007,18591,2651,407,82,0.2034,525.52,43092.38,1089529.17,12734.97,Base case; simulated assumptions; not Red Bull private data,True,217.94942388477693,2676.9758476658476,13286.941097560975,0.039551377958976536,1.1688507614715813,21546.19,-1083161.6849999998,-99.4155746192642,43092.38,-1076794.2,-98.83114923852843,58174.713,-1072336.9604999998,-98.42205147201335
EVT-004,2024-04-20,Gaming Community Finals,Hyderabad,2140,0.413,41443,8015,1886,228,48,0.2116,429.12,20597.81,1333600.9,8496.94,Base case; simulated assumptions; not Red Bull private data,True,623.1779906542056,5849.126754385965,27783.35208333333,0.015445258022846268,0.637142641400437,10298.905,-1329352.43,-99.68142867929978,20597.81,-1325103.96,-99.36285735859957,27807.043500000003,-1322130.031,-99.13985743410942
EVT-005,2024-05-18,Music & Culture Night,Pune,5342,0.5005,252590,60917,3026,374,33,0.0887,422.7,13949.12,668286.32,5632.51,Base case; simulated assumptions; not Red Bull private data,True,125.10039685511043,1786.861818181818,20251.100606060605,0.020872969537966902,0.8428288641311708,6974.56,-665470.065,-99.57858556793443,13949.12,-662653.8099999999,-99.15717113586882,18831.312,-660682.4315,-98.86218103342293
EVT-006,2024-06-16,City Run Experience,Chennai,8449,0.3814,208139,56255,7277,697,91,0.1314,704.61,64119.64,2928108.33,26158.58,Base case; simulated assumptions; not Red Bull private data,True,346.5627091963546,4201.016255380201,32177.014615384614,0.021897973972841368,0.8933610731540113,32059.82,-2915029.04,-99.553319463423,64119.64,-2901949.75,-99.10663892684599,86561.51400000001,-2892794.247,-98.79396255124207
EVT-007,2024-07-05,Campus Cricket,Mumbai,4366,0.3209,136218,25209,3686,237,42,0.1814,724.35,30422.65,3140509.44,11287.36,Base case; simulated assumptions; not Red Bull private data,True,719.3104535043518,13251.094683544303,74774.03428571428,0.009687170371950864,0.3594117519990642,15211.325,-3134865.76,-99.82029412400047,30422.65,-3129222.08,-99.64058824800094,41070.57750000001,-3125271.5039999997,-99.51479413480125
EVT-008,2024-08-06,Urban Dance Showcase,Delhi NCR,11459,0.3057,329771,40204,10209,1718,145,0.0845,386.89,56099.11,1585772.21,17738.28,Base case; simulated assumptions; not Red Bull private data,True,138.38661401518456,923.0338824214202,10936.360068965518,0.03537652485409616,1.1185894095092006,28049.555,-1576903.07,-99.44070529524541,56099.11,-1568033.93,-98.88141059049079,75733.7985,-1561825.532,-98.48990429716258
EVT-009,2024-09-19,Adventure Team Challenge,Bengaluru,10346,0.3346,431629,104446,6219,481,115,0.2396,614.83,70705.99,1770424.69,23471.41,Base case; simulated assumptions; not Red Bull private data,True,171.1216595785811,3680.716611226611,15394.997304347826,0.03993730453454081,1.325750263909842,35352.995,-1758688.9849999999,-99.33712486804508,70705.99,-1746953.28,-98.67424973609016,95453.08650000002,-1738738.2865,-98.21023714372171
EVT-010,2024-10-17,Gaming Community Finals,Hyderabad,10981,0.5592,464886,118807,9292,891,171,0.1926,533.69,91261.01,2179996.96,38306.03,Base case; simulated assumptions; not Red Bull private data,True,198.52444768236043,2446.6857014590346,12748.520233918129,0.04186290700148499,1.757159789800808,45630.505,-2160843.945,-99.12142010509959,91261.01,-2141690.93,-98.2428402101992,123202.3635,-2128283.8194999998,-97.6278342837689
EVT-011,2024-11-06,Music & Culture Night,Pune,11832,0.4543,416674,132256,10567,1621,146,0.0904,502.6,73380.05,2936233.97,28439.86,Base case; simulated assumptions; not Red Bull private data,True,248.16040990534145,1811.371974090068,20111.191575342466,0.02499121348970702,0.9685828953201574,36690.025,-2922014.04,-99.51570855233992,73380.05,-2907794.1100000003,-99.03141710467985,99063.0675,-2897840.159,-98.69241309131777
EVT-012,2024-12-05,City Run Experience,Chennai,9216,0.5071,280700,58585,7449,709,134,0.1896,655.96,87898.54,2803617.77,28548.04,Base case; simulated assumptions; not Red Bull private data,True,304.2119976128472,3954.326897038082,20922.520671641792,0.03135182724997495,1.018257207008643,43949.27,-2789343.75,-99.49087139649568,87898.54,-2775069.73,-98.98174279299135,118663.029,-2765077.916,-98.62535277053834
EVT-013,2025-01-11,Campus Cricket,Mumbai,9212,0.3162,203970,43203,4113,714,160,0.2243,398.59,63775.17,2787694.89,22400.54,Base case; simulated assumptions; not Red Bull private data,True,302.61559813287016,3904.334579831933,17423.0930625,0.022877385265071097,0.8035506353423061,31887.585,-2776494.62,-99.59822468232885,63775.17,-2765294.35,-99.1964493646577,86096.4795,-2757454.1610000003,-98.91520664228788
EVT-014,2025-02-16,Urban Dance Showcase,Delhi NCR,8781,0.5816,310050,45140,3698,442,102,0.2319,597.6,60954.82,1600994.8,17331.23,Base case; simulated assumptions; not Red Bull private data,True,182.3248832706981,3622.160180995475,15696.027450980393,0.03807309055594684,1.0825288127106971,30477.41,-1592329.185,-99.45873559364465,60954.82,-1583663.57,-98.91747118728931,82289.007,-1577597.6395,-98.53858610284057
EVT-015,2025-03-19,Adventure Team Challenge,Bengaluru,11081,0.3912,433747,118296,6004,406,57,0.1416,500.51,28529.06,2435653.82,11262.4,Base case; simulated assumptions; not Red Bull private data,True,219.8045140330295,5999.147339901478,42730.76877192982,0.011713101330631626,0.46239740259968476,14264.53,-2430022.6199999996,-99.76880129870015,28529.06,-2424391.42,-99.53760259740032,38514.23100000001,-2420449.5799999996,-99.37576350649042
EVT-016,2025-04-22,Gaming Community Finals,Hyderabad,3602,0.4596,69224,11569,2829,439,89,0.2042,434.11,38635.56,2055138.56,13104.38,Base case; simulated assumptions; not Red Bull private data,True,570.5548473070517,4681.409020501139,23091.444494382024,0.018799491553503817,0.6376397316977012,19317.78,-2048586.37,-99.68118013415115,38635.56,-2042034.1800000002,-99.36236026830231,52158.006,-2037447.647,-99.13918636220811
EVT-017,2025-05-07,Music & Culture Night,Pune,11908,0.5024,548435,83349,7578,1156,160,0.1389,620.35,99256.52,1954840.54,41575.59,Base case; simulated assumptions; not Red Bull private data,True,164.16195330870005,1691.0385294117648,12217.753375,0.05077473991817256,2.126802117578347,49628.26,-1934052.745,-98.93659894121083,99256.52,-1913264.95,-97.87319788242165,133996.30200000003,-1898713.4935,-97.12881714126922
EVT-018,2025-06-09,City Run Experience,Chennai,3077,0.598,92455,20613,2073,190,44,0.2342,726.37,31960.07,3130908.01,13409.44,Base case; simulated assumptions; not Red Bull private data,True,1017.5196652583685,16478.463210526315,71157.00022727273,0.01020792367515135,0.42829236621359573,15980.035,-3124203.2899999996,-99.7858538168932,31960.07,-3117498.57,-99.57170763378642,43146.0945,-3112805.266,-99.42180530561164
EVT-019,2025-07-18,Campus Cricket,Mumbai,8433,0.4336,367021,45964,6919,828,155,0.1877,522.14,80931.31,1589989.04,23020.14,Base case; simulated assumptions; not Red Bull private data,True,188.54370212261355,1920.276618357488,10257.993806451614,0.05090054583017754,1.4478175270944005,40465.655,-1578478.97,-99.27609123645279,80931.31,-1566968.9000000001,-98.5521824729056,109257.2685,-1558911.851,-98.04544633842256
EVT-020,2025-08-05,Urban Dance Showcase,Delhi NCR,5776,0.4188,142919,24926,4045,396,84,0.2128,422.33,35475.41,2122994.61,10727.99,Base case; simulated assumptions; not Red Bull private data,True,367.5544684903047,5361.0975,25273.745357142856,0.016710080107080444,0.505323468532028,17737.705,-2117630.6149999998,-99.74733826573397,35475.41,-2112266.6199999996,-99.49467653146796,47891.80350000001,-2108511.8235,-99.31781331748176
EVT-021,2025-09-04,Adventure Team Challenge,Bengaluru,6904,0.4679,257304,55071,4588,374,57,0.1541,521.75,29739.84,2348634.32,10137.57,Base case; simulated assumptions; not Red Bull private data,True,340.18457705677866,6279.770909090908,41204.11087719298,0.012662609818287932,0.43163679903987784,14869.92,-2343565.5349999997,-99.78418160048005,29739.84,-2338496.75,-99.56836320096014,40148.784,-2334948.6004999997,-99.41729032129616
